game_id;team_id;period1Score;period2Score;period3Score;period4Score
22200744;1610612753;19;28;34;28
22200744;1610612741;25;35;35;33
22200746;1610612750;29;28;33;27
22200746;1610612758;21;38;22;29
22200442;1610612749;27;29;36;31
22200442;1610612762;22;25;36;14
22201016;1610612755;27;28;26;31
22201016;1610612764;19;31;19;24
22200650;1610612741;35;24;33;40
22200650;1610612744;20;42;24;32
22200831;1610612753;29;36;24;26
22200831;1610612743;26;29;29;20
22201014;1610612743;30;39;18;33
22201014;1610612751;30;31;37;24
22200072;1610612738;34;41;24;15
22200072;1610612739;33;29;33;19
22200707;1610612753;30;25;33;25
22200707;1610612738;23;31;25;19
22200514;1610612758;32;24;27;23
22200514;1610612743;20;27;32;34
22200769;1610612765;26;32;30;29
22200769;1610612764;29;24;36;30
22200861;1610612748;36;26;21;25
22200861;1610612743;27;38;24;23
22200610;1610612758;41;31;35;29
22200610;1610612753;31;21;32;27
22200593;1610612742;34;29;34;30
22200593;1610612740;15;31;35;36
22200053;1610612740;40;26;21;26
22200053;1610612742;31;33;25;22
22200501;1610612741;26;39;24;29
22200501;1610612745;36;28;35;34
22200051;1610612757;23;32;44;36
22200051;1610612743;31;30;25;24
22200699;1610612748;23;18;28;31
22200699;1610612740;32;15;25;24
22200385;1610612762;24;22;33;29
22200385;1610612750;28;33;21;36
22200420;1610612759;28;29;32;23
22200420;1610612757;39;34;24;31
22200213;1610612764;37;30;20;33
22200213;1610612760;29;25;35;32
22200754;1610612739;31;33;25;33
22200754;1610612746;15;19;23;42
22200561;1610612749;32;29;29;33
22200561;1610612764;28;21;36;28
22200536;1610612744;41;19;28;30
22200536;1610612757;25;31;40;16
22200174;1610612748;32;26;27;19
22200174;1610612766;27;23;23;31
22200642;1610612766;34;32;19;21
22200642;1610612738;31;31;33;27
22200674;1610612760;36;22;42;26
22200674;1610612754;20;24;29;33
22200596;1610612765;27;27;28;29
22200596;1610612755;35;36;29;23
22201029;1610612761;49;23;26;27
22201029;1610612743;30;26;36;18
22200582;1610612761;26;21;31;30
22200582;1610612752;30;27;24;31
22201223;1610612741;26;23;18;36
22201223;1610612765;25;21;18;17
22200290;1610612751;31;27;26;27
22200290;1610612757;24;33;23;17
22200197;1610612758;26;38;34;24
22200197;1610612744;39;23;29;24
22201074;1610612745;21;29;30;28
22201074;1610612744;26;29;29;37
22200120;1610612765;21;18;29;20
22200120;1610612739;24;33;33;22
22200533;1610612749;33;17;39;34
22200533;1610612750;34;27;22;31
22201183;1610612745;31;25;30;38
22201183;1610612743;30;29;26;18
22200737;1610612750;38;24;25;24
22200737;1610612763;31;22;24;23
22200919;1610612766;41;24;27;25
22200919;1610612765;21;25;30;30
22200949;1610612748;31;25;32;32
22200949;1610612752;37;34;25;26
22200865;1610612742;23;31;28;39
22200865;1610612750;33;32;35;24
22200210;1610612758;36;37;42;38
22200210;1610612751;30;24;28;39
22200455;1610612745;28;34;14;29
22200455;1610612759;35;25;32;32
22200820;1610612743;49;30;31;36
22200820;1610612750;19;29;27;37
22200902;1610612746;40;40;37;36
22200902;1610612758;40;36;34;43
22201094;1610612751;33;28;30;23
22201094;1610612739;31;29;25;31
22200130;1610612756;28;21;31;26
22200130;1610612757;25;34;27;22
22200867;1610612757;34;31;36;26
22200867;1610612747;19;27;33;36
22201000;1610612748;27;23;32;37
22201000;1610612739;26;33;30;26
22200437;1610612747;33;31;29;33
22200437;1610612743;32;33;23;20
