ID;TEAM_ID; TEAM_CITY; TEAM_NAME; YEAR; GP; WINS; LOSSES; WIN_PCT; CONF_RANK; DIV_RANK; PO_WINS; PO_LOSSES; CONF_COUNT; DIV_COUNT; NBA_FINALS_APPEARANCE; FGM; FGA; FG_PCT; FG3M; FG3A; FG3_PCT; FTM; FTA; FT_PCT; OREB; DREB; REB; AST; PF; STL; TOV; BLK; PTS; PTS_RANK
0;1610612737;Atlanta;Hawks;2018-19;82;29;53;0.354;12;5;0;0;15;5;N/A;3392;7524;0.451;1067;3034;0.352;1443;1918;0.752;955;2825;3780;2118;1932;675;1397;419;9294;12
1;1610612737;Atlanta;Hawks;2019-20;67;20;47;0.299;14;5;0;0;15;5;N/A;2723;6067;0.449;805;2416;0.333;1237;1566;0.79;661;2237;2898;1605;1548;523;1086;341;7488;23
2;1610612737;Atlanta;Hawks;2020-21;72;41;31;0.569;5;1;10;8;15;5;N/A;2937;6281;0.468;895;2402;0.373;1417;1745;0.812;760;2525;3285;1737;1392;503;953;342;8186;13
3;1610612737;Atlanta;Hawks;2021-22;82;43;39;0.524;8;2;1;4;15;5;N/A;3401;7241;0.47;1056;2821;0.374;1485;1829;0.812;823;2783;3606;2017;1534;587;972;348;9343;6
4;1610612737;Atlanta;Hawks;2022-23;82;41;41;0.5;7;2;2;4;15;5;N/A;3658;7574;0.483;882;2505;0.352;1513;1850;0.818;920;2719;3639;2049;1541;580;1060;401;9711;3
5;1610612738;Boston;Celtics;2018-19;82;49;33;0.598;4;3;5;4;15;5;N/A;3451;7423;0.465;1032;2829;0.365;1282;1598;0.802;804;2849;3653;2155;1670;706;1052;435;9216;14
6;1610612738;Boston;Celtics;2019-20;72;48;24;0.667;3;2;10;7;15;5;N/A;2971;6448;0.461;905;2487;0.364;1336;1668;0.801;768;2549;3317;1655;1553;595;995;406;8183;10
7;1610612738;Boston;Celtics;2020-21;72;36;36;0.5;7;4;1;4;15;5;N/A;2985;6401;0.466;979;2618;0.374;1160;1496;0.775;765;2421;3186;1689;1471;556;1012;383;8109;16
8;1610612738;Boston;Celtics;2021-22;82;51;31;0.622;2;1;14;10;15;5;FINALS APPEARANCE;3341;7167;0.466;1085;3044;0.356;1397;1713;0.816;863;2915;3778;2036;1521;591;1118;478;9164;12
9;1610612738;Boston;Celtics;2022-23;82;57;25;0.695;2;1;11;8;15;5;N/A;3460;7278;0.475;1315;3492;0.377;1436;1769;0.812;796;2921;3717;2186;1542;521;1095;430;9671;4
10;1610612751;Brooklyn;Nets;2018-19;82;42;40;0.512;6;4;1;4;15;5;N/A;3301;7358;0.449;1047;2965;0.353;1555;2088;0.745;900;2919;3819;1954;1763;539;1236;339;9204;15
11;1610612751;Brooklyn;Nets;2019-20;72;35;37;0.486;7;4;0;4;15;5;N/A;2908;6498;0.448;941;2746;0.343;1291;1732;0.745;766;2683;3449;1761;1510;464;1099;323;8048;17
12;1610612751;Brooklyn;Nets;2020-21;72;48;24;0.667;2;2;7;5;15;5;N/A;3106;6289;0.494;1020;2600;0.392;1305;1623;0.804;640;2559;3199;1929;1371;484;975;379;8537;2
13;1610612751;Brooklyn;Nets;2021-22;82;44;38;0.537;7;4;0;4;15;5;N/A;3442;7251;0.475;940;2602;0.361;1434;1781;0.805;844;2796;3640;2071;1670;582;1153;448;9258;9
