game_id;team_id;period1Score;period2Score;period3Score;period4Score
'0022200744';1610612753;19;28;34;28
'0022200744';1610612741;25;35;35;33
'0022200746';1610612750;29;28;33;27
'0022200746';1610612758;21;38;22;29
'0022200442';1610612749;27;29;36;31
'0022200442';1610612762;22;25;36;14
'0022201016';1610612755;27;28;26;31
'0022201016';1610612764;19;31;19;24
'0022200650';1610612741;35;24;33;40
'0022200650';1610612744;20;42;24;32
'0022200831';1610612753;29;36;24;26
'0022200831';1610612743;26;29;29;20
'0022201014';1610612743;30;39;18;33
'0022201014';1610612751;30;31;37;24
'0022200072';1610612738;34;41;24;15
'0022200072';1610612739;33;29;33;19
'0022200707';1610612753;30;25;33;25
'0022200707';1610612738;23;31;25;19
'0022200514';1610612758;32;24;27;23
'0022200514';1610612743;20;27;32;34
'0022200769';1610612765;26;32;30;29
'0022200769';1610612764;29;24;36;30
'0022200861';1610612748;36;26;21;25
'0022200861';1610612743;27;38;24;23
'0022200610';1610612758;41;31;35;29
'0022200610';1610612753;31;21;32;27
'0022200593';1610612742;34;29;34;30
'0022200593';1610612740;15;31;35;36
'0022200053';1610612740;40;26;21;26
'0022200053';1610612742;31;33;25;22
'0022200501';1610612741;26;39;24;29
'0022200501';1610612745;36;28;35;34
'0022200051';1610612757;23;32;44;36
'0022200051';1610612743;31;30;25;24
'0022200699';1610612748;23;18;28;31
'0022200699';1610612740;32;15;25;24
'0022200385';1610612762;24;22;33;29
'0022200385';1610612750;28;33;21;36
'0022200420';1610612759;28;29;32;23
'0022200420';1610612757;39;34;24;31
'0022200213';1610612764;37;30;20;33
'0022200213';1610612760;29;25;35;32
'0022200754';1610612739;31;33;25;33
'0022200754';1610612746;15;19;23;42
'0022200561';1610612749;32;29;29;33
'0022200561';1610612764;28;21;36;28
'0022200536';1610612744;41;19;28;30
'0022200536';1610612757;25;31;40;16
'0022200174';1610612748;32;26;27;19
'0022200174';1610612766;27;23;23;31
'0022200642';1610612766;34;32;19;21
'0022200642';1610612738;31;31;33;27
'0022200674';1610612760;36;22;42;26
'0022200674';1610612754;20;24;29;33
'0022200596';1610612765;27;27;28;29
'0022200596';1610612755;35;36;29;23
'0022201029';1610612761;49;23;26;27
'0022201029';1610612743;30;26;36;18
'0022200582';1610612761;26;21;31;30
'0022200582';1610612752;30;27;24;31
'0022201223';1610612741;26;23;18;36
'0022201223';1610612765;25;21;18;17
'0022200290';1610612751;31;27;26;27
'0022200290';1610612757;24;33;23;17
'0022200197';1610612758;26;38;34;24
'0022200197';1610612744;39;23;29;24
'0022201074';1610612745;21;29;30;28
'0022201074';1610612744;26;29;29;37
'0022200120';1610612765;21;18;29;20
'0022200120';1610612739;24;33;33;22
