id;PLAYER_ID; PLAYER_NAME; NICKNAME; TEAM_ID; TEAM_ABBREVIATION; AGE; GP; W; L; W_PCT;MIN; FGM; FGA; FG_PCT; FG3M; FG3A; FG3_PCT; FTM; FTA; FT_PCT; OREB; DREB; REB; AST; TOV; STL; BLK; BLKA; PF;PTS
0;1630639; 'A.J. Lawson'; 'A.J.';1610612742; 'DAL'; 22.0;15;5;10; 0.333;108;22;44; 0.5;10;25; 0.4;2;8; 0.25;6;15;21;2;3;2;0;3;11;56
1;1631260; 'AJ Green'; 'AJ';1610612749; 'MIL'; 23.0;35;27;8; 0.771;344;53;125; 0.424;44;105; 0.419;4;4; 1.0;6;39;45;22;9;6;0;1;31;154
2;1631100; 'AJ Griffin'; 'AJ';1610612737; 'ATL'; 19.0;72;34;38; 0.472;1401;248;533; 0.465;101;259; 0.39;42;47; 0.894;37;116;153;73;42;42;12;22;87;639
3;203932; 'Aaron Gordon'; 'Aaron';1610612743; 'DEN'; 27.0;68;45;23; 0.662;2055;429;761; 0.564;60;173; 0.347;191;314; 0.608;164;282;446;203;98;54;51;65;129;1109
4;1628988; 'Aaron Holiday'; 'Aaron';1610612737; 'ATL'; 26.0;63;32;31; 0.508;845;92;220; 0.418;36;88; 0.409;27;32; 0.844;25;49;74;89;36;37;12;16;79;247
5;1630174; 'Aaron Nesmith'; 'Aaron';1610612754; 'IND'; 23.0;73;30;43; 0.411;1816;252;590; 0.427;115;314; 0.366;119;142; 0.838;62;215;277;98;75;55;34;46;235;738
6;1630598; 'Aaron Wiggins'; 'Aaron';1610612760; 'OKC'; 24.0;70;37;33; 0.529;1297;186;363; 0.512;48;122; 0.393;59;71; 0.831;68;143;211;80;56;39;15;33;110;479
7;1629678; 'Admiral Schofield'; 'Admiral';1610612753; 'ORL'; 26.0;37;14;23; 0.378;451;55;122; 0.451;24;74; 0.324;21;23; 0.913;23;39;62;31;16;8;5;6;61;155
8;201143; 'Al Horford'; 'Al';1610612738; 'BOS'; 36.0;63;44;19; 0.698;1921;228;479; 0.476;145;325; 0.446;15;21; 0.714;73;317;390;189;37;30;61;8;121;616
9;202692; 'Alec Burks'; 'Alec';1610612765; 'DET'; 31.0;51;12;39; 0.235;1122;200;459; 0.436;99;239; 0.414;153;188; 0.814;19;139;158;114;58;38;8;14;98;652
10;1630197; 'Aleksej Pokusevski'; 'Aleksej';1610612760; 'OKC'; 21.0;34;16;18; 0.471;701;108;249; 0.434;38;104; 0.365;22;35; 0.629;45;114;159;64;43;20;43;8;58;276
11;1627936; 'Alex Caruso'; 'Alex';1610612741; 'CHI'; 29.0;67;33;34; 0.493;1575;130;286; 0.455;55;151; 0.364;59;73; 0.808;42;154;196;193;77;98;46;15;159;374
12;203458; 'Alex Len'; 'Alex';1610612758; 'SAC'; 29.0;26;15;11; 0.577;161;16;30; 0.533;0;2; 0.0;11;16; 0.688;24;36;60;12;16;4;11;1;28;43
13;1628993; 'Alize Johnson'; 'Alize';1610612759; 'SAS'; 27.0;4;1;3; 0.25;29;3;6; 0.5;0;2; 0.0;1;2; 0.5;2;8;10;1;4;1;0;0;3;7
14;1631214; 'Alondes Williams'; 'Alondes';1610612751; 'BKN'; 23.0;1;1;0; 1.0;5;0;0; 0.0;0;0; 0.0;0;0; 0.0;0;1;1;0;2;0;0;0;1;0
15;1630578; 'Alperen Sengun'; 'Alperen';1610612745; 'HOU'; 20.0;75;18;57; 0.24;2170;442;799; 0.553;19;57; 0.333;206;288; 0.715;242;436;678;291;193;70;70;62;258;1109
16;1629599; 'Amir Coffey'; 'Amir';1610612746; 'LAC'; 25.0;50;26;24; 0.52;625;56;145; 0.386;11;40; 0.275;49;63; 0.778;17;36;53;53;21;7;5;16;50;172
17;203083; 'Andre Drummond'; 'Andre';1610612741; 'CHI'; 29.0;67;32;35; 0.478;849;166;274; 0.606;0;3; 0.0;67;125; 0.536;138;306;444;33;75;45;27;27;117;399
18;2738; 'Andre Iguodala'; 'Andre';1610612744; 'GSW'; 39.0;8;3;5; 0.375;112;7;15; 0.467;1;9; 0.111;2;3; 0.667;3;14;17;19;9;4;3;0;11;17
19;1629614; 'Andrew Nembhard'; 'Andrew';1610612754; 'IND'; 23.0;75;32;43; 0.427;2073;284;644; 0.441;92;263; 0.35;49;62; 0.79;35;164;199;341;126;70;13;25;179;709
20;203952; 'Andrew Wiggins'; 'Andrew';1610612744; 'GSW'; 28.0;37;19;18; 0.514;1190;250;529; 0.473;89;225; 0.396;44;72; 0.611;61;125;186;85;48;45;28;21;107;633
21;1629014; 'Anfernee Simons'; 'Anfernee';1610612757; 'POR'; 23.0;62;27;35; 0.435;2170;467;1045; 0.447;212;562; 0.377;160;179; 0.894;18;143;161;253;128;42;14;42;142;1306
22;203076; 'Anthony Davis'; 'Anthony';1610612747; 'LAL'; 30.0;56;31;25; 0.554;1904;542;962; 0.563;19;74; 0.257;348;444; 0.784;195;507;702;148;122;59;114;58;146;1451
23;1630162; 'Anthony Edwards'; 'Anthony';1610612750; 'MIN'; 21.0;79;40;39; 0.506;2841;707;1541; 0.459;213;578; 0.369;319;422; 0.756;47;411;458;350;259;125;58;59;186;1946
24;1630264; 'Anthony Gill'; 'Anthony';1610612764; 'WAS'; 30.0;59;21;38; 0.356;624;71;132; 0.538;4;29; 0.138;49;67; 0.731;37;62;99;34;15;7;12;10;70;195
25;1630237; 'Anthony Lamb'; 'Anthony';1610612744; 'GSW'; 25.0;62;36;26; 0.581;1195;148;314; 0.471;73;199; 0.367;46;60; 0.767;56;159;215;96;54;28;20;11;134;415
26;1630559; 'Austin Reaves'; 'Austin';1610612747; 'LAL'; 24.0;64;35;29; 0.547;1843;259;490; 0.529;86;216; 0.398;229;265; 0.864;33;160;193;215;99;33;19;19;108;833
27;203085; 'Austin Rivers'; 'Austin';1610612750; 'MIN'; 30.0;52;25;27; 0.481;1016;91;209; 0.435;43;123; 0.35;30;39; 0.769;5;78;83;75;23;28;4;13;80;255
