id,full_name,first_name,last_name,is_active
1630173,Precious Achiuwa,Precious,Achiuwa,True
203500,Steven Adams,Steven,Adams,True
1628389,Bam Adebayo,Bam,Adebayo,True
1630534,Ochai Agbaji,Ochai,Agbaji,True
1630583,Santi Aldama,Santi,Aldama,True
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
1628960,Grayson Allen,Grayson,Allen,True
1628386,Jarrett Allen,Jarrett,Allen,True
1630631,Jose Alvarado,Jose,Alvarado,True
203937,Kyle Anderson,Kyle,Anderson,True
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,True
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
1630175,Cole Anthony,Cole,Anthony,True
1628384,O.G. Anunoby,O.G.,Anunoby,True
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
1630166,Deni Avdija,Deni,Avdija,True
1629028,Deandre Ayton,Deandre,Ayton,True
1628962,Udoka Azubuike,Udoka,Azubuike,True
1628963,Marvin Bagley III,Marvin,Bagley III,True
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,True
1630163,LaMelo Ball,LaMelo,Ball,True
1629071,LiAngelo Ball,LiAngelo,Ball,True
1628366,Lonzo Ball,Lonzo,Ball,True
1628964,Mo Bamba,Mo,Bamba,True
1631094,Paolo Banchero,Paolo,Banchero,True
1630217,Desmond Bane,Desmond,Bane,True
1630625,Dalano Banton,Dalano,Banton,True
1631230,Dominick Barlow,Dominick,Barlow,True
203084,Harrison Barnes,Harrison,Barnes,True
1630567,Scottie Barnes,Scottie,Barnes,True
1629628,RJ Barrett,RJ,Barrett,True
203115,Will Barton,Will,Barton,True
1629646,Charles Bassey,Charles,Bassey,True
1628966,Keita Bates-Diop,Keita,Bates-Diop,True
201587,Nicolas Batum,Nicolas,Batum,True
203145,Kent Bazemore,Kent,Bazemore,True
1629647,Darius Bazley,Darius,Bazley,True
203078,Bradley Beal,Bradley,Beal,True
1627736,Malik Beasley,Malik,Beasley,True
1630699,MarJon Beauchamp,MarJon,Beauchamp,True
1631262,Jules Bernard,Jules,Bernard,True
202722,Davis Bertans,Davis,Bertans,True
201976,Patrick Beverley,Patrick,Beverley,True
1630180,Saddiq Bey,Saddiq,Bey,True
1631234,Marcus Bingham Jr.,Marcus,Bingham Jr.,True
203920,Khem Birch,Khem,Birch,True
1629048,Goga Bitadze,Goga,Bitadze,True
202687,Bismack Biyombo,Bismack,Biyombo,True
1631205,Buddy Boeheim,Buddy,Boeheim,True
203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True
202711,Bojan Bogdanovic,Bojan,Bogdanovic,True
1629626,Bol Bol,Bol,Bol,True
1629716,Marques Bolden,Marques,Bolden,True
1630195,Leandro Bolmaro,Leandro,Bolmaro,True
1626164,Devin Booker,Devin,Booker,True
1630527,Brandon Boston,Brandon,Boston,True
1628449,Chris Boucher,Chris,Boucher,True
1630547,James Bouknight,James,Bouknight,True
1631123,Jamaree Bouyea,Jamaree,Bouyea,True
1628396,Tony Bradley,Tony,Bradley,True
1631103,Malaki Branham,Malaki,Branham,True
1631128,Christian Braun,Christian,Braun,True
1628969,Mikal Bridges,Mikal,Bridges,True
1629052,Oshae Brissett,Oshae,Brissett,True
1627763,Malcolm Brogdon,Malcolm,Brogdon,True
1628415,Dillon Brooks,Dillon,Brooks,True
1628971,Bruce Brown,Bruce,Brown,True
1631122,Gabe Brown,Gabe,Brown,True
1627759,Jaylen Brown,Jaylen,Brown,True
1631112,Kendall Brown,Kendall,Brown,True
1629650,Moses Brown,Moses,Brown,True
1630535,Greg Brown III,Greg,Brown III,True
1629718,Charlie Brown Jr.,Charlie,Brown Jr.,True
1628972,Troy Brown Jr.,Troy,Brown Jr.,True
1628973,Jalen Brunson,Jalen,Brunson,True
1628418,Thomas Bryant,Thomas,Bryant,True
203493,Reggie Bullock,Reggie,Bullock,True
203504,Trey Burke,Trey,Burke,True
202692,Alec Burks,Alec,Burks,True
1630215,Jared Butler,Jared,Butler,True
202710,Jimmy Butler,Jimmy,Butler,True
1631288,Jamal Cain,Jamal,Cain,True
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
1628427,Vlatko Cancar,Vlatko,Cancar,True
1629962,Devin Cannady,Devin,Cannady,True
203991,Clint Capela,Clint,Capela,True
1630176,Vernon Carey Jr.,Vernon,Carey Jr.,True
1628975,Jevon Carter,Jevon,Carter,True
1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
1627936,Alex Caruso,Alex,Caruso,True
1626161,Willie Cauley-Stein,Willie,Cauley-Stein,True
1630577,Julian Champagnie,Julian,Champagnie,True
1630551,Justin Champagnie,Justin,Champagnie,True
1631113,Kennedy Chandler,Kennedy,Chandler,True
1629597,Zylan Cheatham,Zylan,Cheatham,True
1629185,Chris Chiozza,Chris,Chiozza,True
1627737,Marquese Chriss,Marquese,Chriss,True
1631108,Max Christie,Max,Christie,True
1630528,Josh Christopher,Josh,Christopher,True
1629634,Brandon Clarke,Brandon,Clarke,True
203903,Jordan Clarkson,Jordan,Clarkson,True
1629651,Nic Claxton,Nic,Claxton,True
1629599,Amir Coffey,Amir,Coffey,True
1628381,John Collins,John,Collins,True
1628380,Zach Collins,Zach,Collins,True
201144,Mike Conley,Mike,Conley,True
1626192,Pat Connaughton,Pat,Connaughton,True
1626188,Quinn Cook,Quinn,Cook,True
1630536,Sharife Cooper,Sharife,Cooper,True
203496,Robert Covington,Robert,Covington,True
1628470,Torrey Craig,Torrey,Craig,True
203109,Jae Crowder,Jae,Crowder,True
1630622,Jalen Crutcher,Jalen,Crutcher,True
1629633,Jarrett Culver,Jarrett,Culver,True
1630595,Cade Cunningham,Cade,Cunningham,True
203552,Seth Curry,Seth,Curry,True
201939,Stephen Curry,Stephen,Curry,True
1630700,Dyson Daniels,Dyson,Daniels,True
1630268,Nate Darling,Nate,Darling,True
203076,Anthony Davis,Anthony,Davis,True
1631098,Johnny Davis,Johnny,Davis,True
1629056,Terence Davis,Terence,Davis,True
1631120,JD Davison,JD,Davison,True
1630620,Darius Days,Darius,Days,True
201942,DeMar DeRozan,DeMar,DeRozan,True
203473,Dewayne Dedmon,Dewayne,Dedmon,True
203521,Matthew Dellavedova,Matthew,Dellavedova,True
1628978,Donte DiVincenzo,Donte,DiVincenzo,True
1631217,Moussa Diabate,Moussa,Diabate,True
1629603,Mamadi Diakite,Mamadi,Diakite,True
1628977,Hamidou Diallo,Hamidou,Diallo,True
203476,Gorgui Dieng,Gorgui,Dieng,True
1631172,Ousmane Dieng,Ousmane,Dieng,True
203915,Spencer Dinwiddie,Spencer,Dinwiddie,True
1629029,Luka Doncic,Luka,Doncic,True
1628416,Tyler Dorsey,Tyler,Dorsey,True
1629652,Luguentz Dort,Luguentz,Dort,True
1630245,Ayo Dosunmu,Ayo,Dosunmu,True
1629653,Devon Dotson,Devon,Dotson,True
1630288,Jeff Dowtin,Jeff,Dowtin,True
1628408,P.J. Dozier,P.J.,Dozier,True
201609,Goran Dragic,Goran,Dragic,True
203083,Andre Drummond,Andre,Drummond,True
1630537,Chris Duarte,Chris,Duarte,True
1630561,David Duke Jr.,David,Duke Jr.,True
201142,Kevin Durant,Kevin,Durant,True
1631105,Jalen Duren,Jalen,Duren,True
1631347,Anthony Duruji,Anthony,Duruji,True
1631106,Tari Eason,Tari,Eason,True
1630162,Anthony Edwards,Anthony,Edwards,True
1630556,Kessler Edwards,Kessler,Edwards,True
1629604,CJ Elleby,CJ,Elleby,True
1631165,Keon Ellis,Keon,Ellis,True
203954,Joel Embiid,Joel,Embiid,True
1629234,Drew Eubanks,Drew,Eubanks,True
202324,Derrick Favors,Derrick,Favors,True
1628981,Bruno Fernando,Bruno,Fernando,True
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,True
1630238,Malik Fitts,Malik,Fitts,True
