,rowSet
0,"[1610612756, '00', '22021', '04/10/2022', 'West', 'Phoenix', 82, 64, 18, 0.78, '32-9', '32-9']"
1,"[1610612763, '00', '22021', '04/10/2022', 'West', 'Memphis', 82, 56, 26, 0.683, '30-11', '26-15']"
2,"[1610612744, '00', '22021', '04/10/2022', 'West', 'Golden State', 82, 53, 29, 0.646, '31-10', '22-19']"
3,"[1610612742, '00', '22021', '04/10/2022', 'West', 'Dallas', 82, 52, 30, 0.634, '29-12', '23-18']"
4,"[1610612762, '00', '22021', '04/10/2022', 'West', 'Utah', 82, 49, 33, 0.598, '29-12', '20-21']"
5,"[1610612743, '00', '22021', '04/10/2022', 'West', 'Denver', 82, 48, 34, 0.585, '23-18', '25-16']"
6,"[1610612750, '00', '22021', '04/10/2022', 'West', 'Minnesota', 82, 46, 36, 0.561, '26-15', '20-21']"
7,"[1610612746, '00', '22021', '04/10/2022', 'West', 'LA Clippers', 82, 42, 40, 0.512, '25-16', '17-24']"
8,"[1610612740, '00', '22021', '04/10/2022', 'West', 'New Orleans', 82, 36, 46, 0.439, '19-22', '17-24']"
9,"[1610612759, '00', '22021', '04/10/2022', 'West', 'San Antonio', 82, 34, 48, 0.415, '16-25', '18-23']"
10,"[1610612747, '00', '22021', '04/10/2022', 'West', 'L.A. Lakers', 82, 33, 49, 0.402, '21-20', '12-29']"
11,"[1610612758, '00', '22021', '04/10/2022', 'West', 'Sacramento', 82, 30, 52, 0.366, '16-25', '14-27']"
12,"[1610612757, '00', '22021', '04/10/2022', 'West', 'Portland', 82, 27, 55, 0.329, '17-24', '10-31']"
13,"[1610612760, '00', '22021', '04/10/2022', 'West', 'Oklahoma City', 82, 24, 58, 0.293, '12-29', '12-29']"
14,"[1610612745, '00', '22021', '04/10/2022', 'West', 'Houston', 82, 20, 62, 0.244, '11-30', '9-32']"
