;TEAM_ID;LEAGUE_ID;SEASON_ID;STANDINGSDATE;CONFERENCE;TEAM;G;W;L;W_PCT;HOME_RECORD;ROAD_RECORD
0;1610612738; '00'; '22022'; '02/27/2023'; 'East'; 'Boston';61;44;17; 0.721; '24-7'; '20-10'
1;1610612749; '00'; '22022'; '02/27/2023'; 'East'; 'Milwaukee';60;43;17; 0.717; '26-5'; '17-12'
2;1610612755; '00'; '22022'; '02/27/2023'; 'East'; 'Philadelphia';59;39;20; 0.661; '24-9'; '15-11'
3;1610612739; '00'; '22022'; '02/27/2023'; 'East'; 'Cleveland';64;39;25; 0.609; '26-7'; '13-18'
4;1610612751; '00'; '22022'; '02/27/2023'; 'East'; 'Brooklyn';60;34;26; 0.567; '18-11'; '16-15'
5;1610612752; '00'; '22022'; '02/27/2023'; 'East'; 'New York';62;35;27; 0.565; '17-15'; '18-12'
6;1610612748; '00'; '22022'; '02/27/2023'; 'East'; 'Miami';61;32;29; 0.525; '19-10'; '13-19'
7;1610612737; '00'; '22022'; '02/27/2023'; 'East'; 'Atlanta';61;31;30; 0.508; '17-12'; '14-18'
8;1610612761; '00'; '22022'; '02/27/2023'; 'East'; 'Toronto';62;30;32; 0.484; '19-13'; '11-19'
9;1610612764; '00'; '22022'; '02/27/2023'; 'East'; 'Washington';60;28;32; 0.467; '14-13'; '14-19'
10;1610612741; '00'; '22022'; '02/27/2023'; 'East'; 'Chicago';61;28;33; 0.459; '18-13'; '10-20'
11;1610612754; '00'; '22022'; '02/27/2023'; 'East'; 'Indiana';62;27;35; 0.435; '18-15'; '9-20'
12;1610612753; '00'; '22022'; '02/27/2023'; 'East'; 'Orlando';61;25;36; 0.41; '15-16'; '10-20'
13;1610612766; '00'; '22022'; '02/27/2023'; 'East'; 'Charlotte';62;19;43; 0.306; '10-18'; '9-25'
14;1610612765; '00'; '22022'; '02/27/2023'; 'East'; 'Detroit';61;15;46; 0.246; '8-22'; '7-24'
